Bad Hersfeld;HEF;HERS;Hersfeld Bad;;;8000020
Bad Höhenstadt;Höhenstadt Bad;;;;;8000710
Bad Homburg;HG;Homburg Bad;;;;8000712
Bad Honnef Am Spitzenbach;;;;;;8070770
Bad Honnef Stadtbahn;Honnef Stadtbahn Bad;;;;;8070073
Bad Honnef(Rhein);Honnef(Rhein) Bad;;;;;8000713
Bad Honnef(Rhein) KD;Honnef(Rhein) SF Bad;;;;;8075944
Bad Hönningen;Hönningen Bad;;;;;8000711
Bad Hönningen KD;Hönningen SF Bad;;;;;8075949
Bad Imnau;Imnau Bad;Haigerloch-Bad Imnau;;;;8070309
Bad Karlshafen;Karlshafen Bad;;;;;8003182
Bad Kissingen;KG;Kissingen Bad;;;;8000714
Bad Kleinen;Kleinen Bad;;;;;8010018
Bad Kohlgrub;Kohlgrub Bad;;;;;8000716
Bad Kohlgrub Kurhaus;Kohlgrub Kurhaus Bad;;;;;8000717
Bad König;König Bad;;;;;8000715
Bad König Zell;Zell-Kirchbrombach;;;;;8006643
Bad Kösen;Kösen Bad;;;;;8010019
Bad Köstritz;Köstritz Bad;;;;;8011074
Bad Kötzting;KÖZ;Kötzting Bad;;;;8003393
Bad Kreuznach;KH;Kreuznach Bad;;;;8000021
Bad Krozingen;Krozingen Bad;;;;;8000718
Bad Krozingen Ost;Krozingen Ost Bad;;;;;8007330
Bad Laasphe;Laasphe Bad;;;;;8003486
Bad Laasphe-Niederlaasphe;;;;;;8003493
Bad Langensalza;LSZ;Langensalza Bad;;;;8010020
Bad Lausick;Lausick Bad;;;;;8011077
Bad Lauterberg im Harz Barbis;Bad Lauterbg Bahnhof;;;;;8005324
Bad Liebenwerda;LIB;Liebenwerda Bad;;;;8011078
Bad Liebenzell;Liebenzell Bad;;;;;8000721
Bad Lobenstein;LBS;Lobenstein(Thür);;;;8013452
Bad Malente-Gremsmühlen;Malente-Gremsmühlen;Gremsmühlen-Malente;;;;8003829
Bad Mergentheim;MGH;Mergentheim Bad;;;;8000724
Bad Münder(Deister);Münder(Deister) Bad;;;;;8000725
Bad Münster a Stein;Münster a Stein Bad;;;;;8000726
Bad Münstereifel;Münstereifel Bad;;;;;8000727
Bad Münstereifel-Arloff;;;;;;8000601
Bad Münstereifel-Iversheim;;;;;;8003104
Bad Nauheim;Nauheim Bad;;;;;8000728
Bad Nenndorf;Nenndorf Bad;;;;;8000022
Bad Neuenahr;Neuenahr Bad;;;;;8000729
Bad Neustadt(Saale);NES;Neustadt(Saale) Bad;;;;8000730
Bad Niedernau;Rottenburg-B.Niedern;Niedernau Bad;;;;8000731
Bad Oeynhausen;OEYN;Oeynhausen Bad;;;;8000732
Bad Oeynhausen Süd;Oeynhausen Süd Bad;;;;;8000733
Bad Oldesloe;OD;Oldesloe Bad;;;;8000023
Bad Orb Busbf;Orb Busbf Bad;;;;;8089221
Bad Peterstal;Peterstal Bad;;;;;8000734
Bad Pyrmont;Pyrmont Bad;;;;;8000735
Bad Rappenau;Rappenau Bad;;;;;8000736
Bad Rappenau Kurpark;;;;;;8000777
Bad Reichenhall;Reichenhall Bad;;;;;8000737
Bad Reichenhall-Kirchberg;Reichenhall-Kir. Bad;;;;;8000738
Bad Rodach;Rodach(b Coburg) Bad;;;;;8005112
Bad Rotenfels Bf;Gaggenau-Bad Rotenf.;Rotenfels Bad;;;;8005183
Bad Rotenfels Schloss;Rotenfels Schl. Bad;;;;;8005186
Bad Rotenfels Weinbrennerstraße;;;;;;8005187
Bad Saarow;Saarow-Pieskow Bad;;;;;8011079
Bad Saarow Klinikum;;;;;;8010028
